Designator,Mid X,Mid Y,Layer,Rotation
D1574,11.2,-41.222809,top,120
D1575,9.8,-41.222809,top,120
D1576,8.4,-41.222809,top,120
D1577,7,-41.222809,top,120
D1578,5.6,-41.222809,top,120
D1579,4.2,-41.222809,top,120
D158,-24.5,-3.637306,top,120
D1580,2.8,-41.222809,top,120
D1581,1.4,-41.222809,top,120
D1582,0,-41.222809,top,120
D1583,-1.4,-41.222809,top,120
D1584,-2.8,-41.222809,top,120
D1585,-4.2,-41.222809,top,120
D1586,-5.6,-41.222809,top,120
D1587,-7,-41.222809,top,120
D1588,-31.5,-54.5596,top,120
D1589,-30.1,-54.5596,top,120
D159,-25.9,-3.637306,top,120
D1590,-28.7,-54.5596,top,120
D1591,-27.3,-54.5596,top,120
D1592,-25.9,-54.5596,top,120
D1593,-24.5,-54.5596,top,120
D1594,-23.1,-54.5596,top,120
D1595,-21.7,-54.5596,top,120
D1596,-20.3,-54.5596,top,120
D1597,-18.9,-54.5596,top,120
D1598,-17.5,-54.5596,top,120
D1599,-16.1,-54.5596,top,120
D16,-21,0,top,120
D160,-27.3,-3.637306,top,120
D1600,-14.7,-54.5596,top,120
D1601,-13.3,-54.5596,top,120
D1602,-11.9,-54.5596,top,120
D1603,-10.5,-54.5596,top,120
D1604,-9.1,-54.5596,top,120
D1605,-7.7,-54.5596,top,120
D1606,-6.3,-54.5596,top,120
D1607,-4.9,-54.5596,top,120
D1608,-3.5,-54.5596,top,120
D1609,-2.1,-54.5596,top,120
D161,-28.7,-3.637306,top,120
D1610,-0.7,-54.5596,top,120
D1611,0.7,-54.5596,top,120
D1612,2.1,-54.5596,top,120
D1613,3.5,-54.5596,top,120
D1614,4.9,-54.5596,top,120
D1615,6.3,-54.5596,top,120
D1616,7.7,-54.5596,top,120
D1617,9.1,-54.5596,top,120
D1618,10.5,-54.5596,top,120
D1619,11.9,-54.5596,top,120
D162,-30.1,-3.637306,top,120
D1620,13.3,-54.5596,top,120
D1621,14.7,-54.5596,top,120
D1622,16.1,-54.5596,top,120
D1623,17.5,-54.5596,top,120
D1624,18.9,-54.5596,top,120
D1625,20.3,-54.5596,top,120
D1626,21.7,-54.5596,top,120
D1627,23.1,-54.5596,top,120
D1628,24.5,-54.5596,top,120
D1629,25.9,-54.5596,top,120
D163,-31.5,-3.637306,top,120
D1630,27.3,-54.5596,top,120
D1631,28.7,-54.5596,top,120
D1632,30.1,-54.5596,top,120
D1633,31.5,-54.5596,top,120
D1634,-32.2,-53.347164,top,120
D1635,-30.8,-53.347164,top,120
D1636,-29.4,-53.347164,top,120
D1637,-28,-53.347164,top,120
D1638,-26.6,-53.347164,top,120
D1639,-25.2,-53.347164,top,120
D164,-32.9,-3.637306,top,120
D1640,-23.8,-53.347164,top,120
D1641,-22.4,-53.347164,top,120
D1642,-21,-53.347164,top,120
D1643,-19.6,-53.347164,top,120
D1644,-18.2,-53.347164,top,120
D1645,-16.8,-53.347164,top,120
D1646,-15.4,-53.347164,top,120
D1647,-14,-53.347164,top,120
D1648,-12.6,-53.347164,top,120
D1649,-11.2,-53.347164,top,120
D165,-34.3,-3.637306,top,120
D1650,-9.8,-53.347164,top,120
D1651,-8.4,-53.347164,top,120
D1652,-7,-53.347164,top,120
D1653,-5.6,-53.347164,top,120
D1654,-4.2,-53.347164,top,120
D1655,-2.8,-53.347164,top,120
D1656,-1.4,-53.347164,top,120
D1657,0,-53.347164,top,120
D1658,1.4,-53.347164,top,120
